product_name,review_count,review_rating,skin_type,review_text,url
리얼베리어 세라베이스 모이스처라이징 베리어씰 세럼 30 ml,81,5,건성,요즘 많이 건조해서 보습크림과 함께 구매했어요 촉촉하고 좋아요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1075316&recmYn=N
리얼베리어 세라베이스 모이스처라이징 베리어씰 세럼 30 ml,81,5,건성,같은 라인 크림이 있어서 함께 써보려고 구매했습니다. 후기가 좋아서 기대 중이에요.,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1075316&recmYn=N
리얼베리어 세라베이스 모이스처라이징 베리어씰 세럼 30 ml,81,5,건성,촉촉해요 로션 바르고 앰플 발라보니 촉촉함이 오래 유지 됐어요 마음에 듭니다,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1075316&recmYn=N
리얼베리어 세라베이스 모이스처라이징 베리어씰 세럼 30 ml,81,5,건성,"오 신기하게 생겼어요.. 안에 반짝반짝한 것들이 들어있어서 보니까, 세라마이드+펩타이드 인가봐요.. - 세라마이드: 피부 장벽 핵심 성분 → 장벽 강화 & 보습 - 펩타이드: 콜라겐 생성을 돕는 역할 → 피부 재생 & 탄력 (주름 개선) 건조하고 얇은 피부 추천!!",https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1075316&recmYn=N
리얼베리어 세라베이스 모이스처라이징 베리어씰 세럼 30 ml,81,5,중성,새재품 알림신청해서 바로 받았어요.. 효과좋기를 기대합니다,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1075316&recmYn=N
리얼베리어 세라베이스 모이스처라이징 베리어씰 세럼 30 ml,81,5,지성,세트로 샀습니다. 촉촉해요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1075316&recmYn=N
리얼베리어 세라베이스 모이스처라이징 베리어씰 세럼 30 ml,81,5,지성,다이소 재재구매템입니다 추천합니다,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1075316&recmYn=N
리얼베리어 세라베이스 모이스처라이징 베리어씰 세럼 30 ml,81,5,중성,촉촉하고 순해여 아주 마음에 듬,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1075316&recmYn=N
모공탄력 부스터샷세럼 45 ml,133,5,건성,피부 컨디션이 안 좋을 때 사용하면 자극이 있긴 한데 그래도 이 제품 꾸준히 쓰고 피부가 많이 깨끗해지고 좋아졌어요. 민감성 피부이신 분들은 다른 순한 제품 구매하시는 게 좋을 거 같아요.,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072802&recmYn=N
모공탄력 부스터샷세럼 45 ml,133,5,지성,추천… 모공 관리템으로 진짜 추천해요 바르고 나면 확실히 다음 날 피부결이 달라요 바른날 안 바른 날 차이가 있더라고요 너무 매일 바르진 않고 일주일에 두세번 정도 바릅니당,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072802&recmYn=N
모공탄력 부스터샷세럼 45 ml,133,5,중성,자극없이 순햇으면 좋겟구요 용량이 많지 않은거 같아서 금방 쓸거 같아요 사용해보고 좋으면 또 살지 어떨지 고민이네요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072802&recmYn=N
모공탄력 부스터샷세럼 45 ml,133,5,중성,이거 쓰기 전이랑 비교하면 피부가 좋아지는것 같아요. 뭔가 안색이나 결이 개선되는 듯해요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072802&recmYn=N
모공탄력 부스터샷세럼 45 ml,133,5,중성,촉촉해서 좋았어요 잘썼습니다,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072802&recmYn=N
모공탄력 부스터샷세럼 45 ml,133,5,중성,냄새는 너무 별로인데 향이 코를 찌르는듯 ㅠㅠ 코안에 에프킬라 뿌리면 비슷할거 같은 느낌 근데 냄새만 그렇지 제품력은 괜찮은거 같아서 참고 쓰는중,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072802&recmYn=N
모공탄력 부스터샷세럼 45 ml,133,5,중성,리들샷보다 편하게 쓰기 좋아요!,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072802&recmYn=N
